Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Nature,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée
1973,8,06,06060,Falicon,1973-01-09 13:50:00,10000,4700,4800,0,,,,,,500,,1.0,,,,,,
1973,1871,83,83038,Châteaudouble,1973-01-28 13:25:00,30000,14100,14400,0,,,,,,1500,,3.0,,,,,,
1973,1872,83,83078,Moissac-Bellevue,1973-01-29 11:15:00,6000,2820,2880,0,,,,,,300,,1.0,Involontaire (travaux),,,,,
1973,1639,34,34163,Montarnaud,1973-01-29 13:00:00,100000,47000,48000,0,,,,,,5000,,1.0,,,,,,
1973,9,06,06012,Beausoleil,1973-01-29 15:00:00,40000,18800,19200,0,,,,,,2000,,5.0,,,,,,
1973,2248,84,84012,Beaumes-de-Venise,1973-01-31 13:50:00,1000,470,480,0,,,,,,50,,3.0,,,,,,
1973,1640,34,34117,Graissessac,1973-02-04 12:00:00,30000,14100,14400,0,,,,,,1500,,1.0,Malveillance,,,,,
1973,1641,34,34157,Mèze,1973-02-04 12:00:00,1000,470,480,0,,,,,,50,,1.0,Involontaire (travaux),,,,,
1973,2250,84,84057,Joucas,1973-02-04 14:15:00,1000,470,480,0,,,,,,50,,3.0,,,,,,
1973,1873,83,83033,Carnoules,1973-02-04 15:12:00,20000,9400,9600,0,,,,,,1000,,1.0,,,,,,
1973,2249,84,84032,Caseneuve,1973-02-04 15:20:00,20000,9400,9600,0,,,,,,1000,,1.0,Involontaire (travaux),,,,,
1973,1874,83,83050,Draguignan,1973-02-05 14:21:00,1000,470,480,0,,,,,,50,,5.0,,,,,,
1973,1643,34,34055,Castanet-le-Haut,1973-02-05 14:30:00,50000,23500,24000,0,,,,,,2500,,1.0,,,,,,
1973,1644,34,34038,Le Bousquet-d'Orb,1973-02-05 15:00:00,105000,49350,50400,0,,,,,,5250,,1.0,Involontaire (travaux),,,,,
1973,1642,34,34229,Riols,1973-02-05 17:00:00,200000,94000,96000,0,,,,,,10000,,1.0,,,,,,
1973,1645,34,34121,Joncels,1973-02-07 16:30:00,20000,9400,9600,0,,,,,,1000,,1.0,Involontaire (travaux),,,,,
1973,2251,84,84078,Mondragon,1973-02-07 16:30:00,10000,4700,4800,0,,,,,,500,,3.0,,,,,,
1973,1092,2A,2A004,Ajaccio,1973-02-08 12:35:00,10000,4700,4800,0,,,,,,500,,,,,,,,
1973,2252,84,84078,Mondragon,1973-02-09 19:15:00,1000,470,480,0,,,,,,50,,1.0,,,,,,
1973,1093,2A,2A004,Ajaccio,1973-02-10 13:35:00,10000,4700,4800,0,,,,,,500,,,,,,,,
1973,1875,83,83120,Saint-Zacharie,1973-02-10 14:00:00,1000,470,480,0,,,,,,50,,1.0,,,,,,
1973,1876,83,83050,Draguignan,1973-02-10 16:00:00,20000,9400,9600,0,,,,,,1000,,5.0,,,,,,
1973,2253,84,84096,Rasteau,1973-02-11 16:00:00,40000,18800,19200,0,,,,,,2000,,1.0,,,,,,
1973,1095,2B,2B148,Lucciana,1973-02-12 11:15:00,10000,4700,4800,0,,,,,,500,,,,,,,,
1973,11,06,06113,Sainte-Agnès,1973-02-12 12:48:00,15000,7050,7200,0,,,,,,750,,3.0,Accidentelle,,,,,
1973,21,06,06010,Le Bar-sur-Loup,1973-02-12 13:10:00,50000,23500,24000,0,,,,,,2500,,3.0,,,,,,
1973,2254,84,84019,Bollène,1973-02-12 14:00:00,1000,470,480,0,,,,,,50,,1.0,,,,,,
1973,1877,83,83029,Callian,1973-02-12 16:00:00,1000,470,480,0,,,,,,50,,3.0,Involontaire (travaux),,,,,
1973,1094,2A,2A032,Bastelicaccia,1973-02-12 16:50:00,10000,4700,4800,0,,,,,,500,,,,,,,,
1973,10,06,06033,Carros,1973-02-12 18:30:00,5000,2350,2400,0,,,,,,250,,,,,,,,
1973,1878,83,83133,Tanneron,1973-02-12 23:30:00,1000,470,480,0,,,,,,50,,5.0,Involontaire (travaux),,,,,
1973,1647,34,34117,Graissessac,1973-02-18 18:30:00,100000,47000,48000,0,,,,,,5000,,1.0,Malveillance,,,,,
1973,1646,34,34202,Pignan,1973-02-19 19:00:00,10000,4700,4800,0,,,,,,500,,1.0,Malveillance,,,,,
1973,24,06,06069,Grasse,1973-02-20 11:37:00,4000,1880,1920,0,,,,,,200,,3.0,,,,,,
1973,12,06,06147,Tourrette-Levens,1973-02-20 15:00:00,100000,47000,48000,0,,,,,,5000,,1.0,Involontaire (travaux),,,,,
