"Certaines données sont associées à l'ancienne version du formulaire incendie. Consultez la documentation pour plus d'informations."
"Nombre d'incendies suivant les critères de sélection : 28365"
"Critères de sélection =>";"Date de première alerte, de : 1993-01-01 00:00:00";"Date de première alerte, jusqu'à : 2003-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
1993;38;"06";"06022";"Bouyon";"1993-01-01 00:30:00";200;94;96;0;;;;;;10;;"1";;;;;;""
1993;39;"06";"06163";"Tende";"1993-01-01 00:37:00";200;94;96;0;;;;;;10;;"1";;;;;;""
1993;40;"06";"06132";"Saorge";"1993-01-01 09:20:00";800000;376000;384000;0;;;;;;40000;;"1";;;;;;""
1993;20;"05";"05058";"Freissinières";"1993-01-02 14:16:00";50;24;24;0;;;;;;2;;"4";;;;;;""
1993;41;"06";"06122";"Saint-Jeannet";"1993-01-04 17:40:00";50;24;24;0;;;;;;2;;"1";;;;;;""
1993;2450;"48";"48015";"Pied-de-Borne";"1993-01-05 10:53:00";10000;4700;4800;0;;;;;;500;;"1";"Involontaire (travaux)";;;;;""
1993;2449;"48";"48108";"La Panouse";"1993-01-05 15:25:00";20000;9400;9600;0;;;;;;1000;;"1";;;;;;""
1993;42;"06";"06075";"Levens";"1993-01-05 20:13:00";100;47;48;0;;;;;;5;;"1";;;;;;""
1993;43;"06";"06110";"Roubion";"1993-01-06 14:20:00";300;141;144;0;;;;;;15;;"1";;;;;;""
1993;2303;"30";"30338";"Vallérargues";"1993-01-07 19:00:00";10000;4700;4800;0;;;;;;500;;"1";;;;;;""
1993;736;"2A";"2A326";"Tolla";"1993-01-08 15:34:00";10000;4700;4800;0;;;;;;500;;"1";;;;;;""
1993;737;"2A";"2A211";"Petreto-Bicchisano";"1993-01-09 18:55:00";150;71;72;0;;;;;;7;;;;;;;;""
1993;44;"06";"06116";"Saint-Auban";"1993-01-10 17:57:00";70000;32900;33600;0;;;;;;3500;;"1";;;;;;""
1993;45;"06";"06127";"Saint-Martin-Vésubie";"1993-01-12 17:55:00";100;47;48;0;;;;;;5;;"1";;;;;;""
1993;46;"06";"06074";"Lantosque";"1993-01-15 15:30:00";300;141;144;0;;;;;;15;;"1";;;;;;""
1993;1;"04";"04202";"Sausses";"1993-01-16 15:44:00";1450000;681500;696000;0;;;;;;72500;;"1";"Involontaire (travaux)";;;;;""
1993;47;"06";"06130";"Saint-Vallier-de-Thiey";"1993-01-17 13:17:00";2500;1175;1200;0;;;;;;125;;"1";;;;;;""
1993;48;"06";"06023";"Breil-sur-Roya";"1993-01-19 14:29:00";800;376;384;0;;;;;;40;;"1";;;;;;""
1993;2602;"83";"83049";"Cuers";"1993-01-19 19:15:00";200;94;96;0;;;;;;10;;"4";"Involontaire (travaux)";;;;;""
1993;2272;"26";"26317";"Saint-Maurice-sur-Eygues";"1993-01-20 13:59:00";5000;2350;2400;0;;;;;;250;;"5";"Involontaire (travaux)";;;;;""
1993;2396;"30";"30028";"Bagnols-sur-Cèze";"1993-01-20 14:43:00";2000;940;960;0;;;;;;100;;;;;;;;""
1993;49;"06";"06026";"Cabris";"1993-01-20 14:45:00";1500;705;720;0;;;;;;75;;"1";;;;;;""
1993;536;"11";"11071";"Cascastel-des-Corbières";"1993-01-20 18:00:00";200;94;96;0;;;;;;10;;"1";;;;;;""
1993;738;"2A";"2A348";"Vico";"1993-01-21 15:50:00";2000;940;960;0;;;;;;100;;;"Involontaire (travaux)";;;;;""
1993;50;"06";"06015";"Berre-les-Alpes";"1993-01-21 17:30:00";10000;4700;4800;0;;;;;;500;;"1";;;;;;""
1993;363;"07";"07045";"Burzet";"1993-01-22 12:40:00";50000;23500;24000;0;;;;;;2500;;"1";;;;;;""
1993;739;"2A";"2A212";"Piana";"1993-01-22 15:14:00";600;282;288;0;;;;;;30;;;;;;;;""
1993;2603;"83";"83026";"Cabasse";"1993-01-22 16:00:00";2000;940;960;0;;;;;;100;;"4";"Involontaire (travaux)";;;;;""
1993;51;"06";"06116";"Saint-Auban";"1993-01-23 13:56:00";10000;4700;4800;0;;;;;;500;;"1";;;;;;""
